bin path,bp,category,contigs,name
./bins/isolate_genomes/bins/Methylosarcina_lacus_LW14.fna,8769886,isolate,2,Methylosarcina_lacus_LW14
./bins/isolate_genomes/bins/Methylobacter_tundripaludum_31_32.fna,5047616,isolate,2,Methylobacter_tundripaludum_31_32
./bins/isolate_genomes/bins/Methylotenera_sp._1P_1.fna,5495096,isolate,2,Methylotenera_sp._1P_1
./bins/isolate_genomes/bins/Methylotenera_sp._73s.fna,5217228,isolate,2,Methylotenera_sp._73s
./bins/isolate_genomes/bins/Methylophilaceae_bacterium_11.fna,5573704,isolate,2,Methylophilaceae_bacterium_11
./bins/isolate_genomes/bins/Methylotenera_mobilis_JLW8.fna,5095158,isolate,2,Methylotenera_mobilis_JLW8
./bins/isolate_genomes/bins/Methylotenera_sp._N17.fna,2753706,isolate,1,Methylotenera_sp._N17
./bins/isolate_genomes/bins/Methylophilus_sp._Q8.fna,2900101,isolate,1,Methylophilus_sp._Q8
./bins/isolate_genomes/bins/Methylophilus_sp._42.fna,5936724,isolate,2,Methylophilus_sp._42
./bins/isolate_genomes/bins/Methylotenera_sp._G11.fna,2545140,isolate,1,Methylotenera_sp._G11
./bins/isolate_genomes/bins/Methylophilus_sp._5.fna,6066066,isolate,2,Methylophilus_sp._5
./bins/isolate_genomes/bins/Methylophilus_sp._#1.fna,5938338,isolate,2,Methylophilus_sp._#1
./bins/isolate_genomes/bins/Methylotenera_mobilis_#13.fna,5607616,isolate,2,Methylotenera_mobilis_#13
./bins/isolate_genomes/bins/Methylotenera_versatilis_79.fna,5208602,isolate,2,Methylotenera_versatilis_79
./bins/isolate_genomes/bins/Methylotenera_versatilis_#7.fna,5006510,isolate,6,Methylotenera_versatilis_#7
./bins/isolate_genomes/bins/Methylobacter_tundripaludum_21_22.fna,4665258,isolate,1,Methylobacter_tundripaludum_21_22
./bins/isolate_genomes/bins/Methylotenera_versatilis_301_.fna,6119760,isolate,2,Methylotenera_versatilis_301_
./bins/isolate_genomes/bins/Methylotenera_sp._L2L1.fna,5284032,isolate,2,Methylotenera_sp._L2L1
./bins/fauzi_bins/bins/Rhodocyclaceae-127_Ga0081610.fna,3417103,fauzi,359,Rhodocyclaceae-127_Ga0081610
./bins/fauzi_bins/bins/Methylococcaceae-21_Ga0081623.fna,3910653,fauzi,553,Methylococcaceae-21_Ga0081623
./bins/fauzi_bins/bins/Burkholderiales-76_Ga0081648.fna,4616430,fauzi,106,Burkholderiales-76_Ga0081648
./bins/fauzi_bins/bins/Methylophilus_methylotrophus-129-1_Ga0081617.fna,2991039,fauzi,114,Methylophilus_methylotrophus-129-1_Ga0081617
./bins/fauzi_bins/bins/Methylophilaceae-55_Ga0081637.fna,2967774,fauzi,23,Methylophilaceae-55_Ga0081637
./bins/fauzi_bins/bins/Methylosarcina-21_Ga0081622.fna,3852197,fauzi,408,Methylosarcina-21_Ga0081622
./bins/fauzi_bins/bins/Methylococcaceae-55_Ga0081636.fna,4267963,fauzi,53,Methylococcaceae-55_Ga0081636
./bins/fauzi_bins/bins/Methylophilaceae-40_Ga0081624.fna,1297884,fauzi,239,Methylophilaceae-40_Ga0081624
./bins/fauzi_bins/bins/Methylophilaceae-8_Ga0081655.fna,1825870,fauzi,334,Methylophilaceae-8_Ga0081655
./bins/fauzi_bins/bins/Methylotenera_mobilis-49_Ga0081629.fna,2415253,fauzi,221,Methylotenera_mobilis-49_Ga0081629
./bins/fauzi_bins/bins/Bacteriovora-8x_Ga0081656.fna,3886060,fauzi,289,Bacteriovora-8x_Ga0081656
./bins/fauzi_bins/bins/Opititae-40_Ga0081625.fna,3114216,fauzi,23,Opititae-40_Ga0081625
./bins/fauzi_bins/bins/Bacteriovorax-63_Ga0081639.fna,3326520,fauzi,8,Bacteriovorax-63_Ga0081639
./bins/fauzi_bins/bins/Methylobacter-69_Ga0081641.fna,5475270,fauzi,179,Methylobacter-69_Ga0081641
./bins/fauzi_bins/bins/Methylophilus_methylotrophus-69_Ga0081642.fna,2910744,fauzi,30,Methylophilus_methylotrophus-69_Ga0081642
./bins/fauzi_bins/bins/Methylotenera_mobilis-76-1_Ga0081647.fna,2433989,fauzi,207,Methylotenera_mobilis-76-1_Ga0081647
./bins/fauzi_bins/bins/Flavobacteriaceae-79-1_Ga0081652.fna,3849893,fauzi,206,Flavobacteriaceae-79-1_Ga0081652
./bins/fauzi_bins/bins/Flavobacteriaceae-49_Ga0081632.fna,2910432,fauzi,222,Flavobacteriaceae-49_Ga0081632
./bins/fauzi_bins/bins/Acidovorax-21_Ga0081621.fna,1831709,fauzi,445,Acidovorax-21_Ga0081621
